Year,Month,Countries/Areas,Number of Applicants,Number of Examinees
2023,Total,92,1481023,1265435
2023,July,55,698062,602140
2023,December,85,782961,663295
2022,Total,89,932518,787954
2022,July,53,426225,356505
2022,December,82,506293,431449
2021,Total,74,807581,684907
2021,July,26,387371,335915
2021,December,69,420210,348992
2020,Total,29,424147,370028
2020,December,29,424147,370028
2019,Total,87,1362167,1168535
2019,July,47,644104,550448
2019,December,76,718063,618087
2018,Total,86,1168000,1009074
2018,July,41,544189,470079
2018,December,77,623811,538995
2017,Total,81,1027111,887380
2017,July,36,466407,404106
2017,December,77,560704,483274
2016,Total,74,866294,755802
2016,July,32,389674,341079
2016,December,70,476620,414723
2015,Total,69,750252,652519
2015,July,29,344046,299297
2015,December,66,406206,353222
2014,Total,67,681893,594682
2014,July,24,312088,273343
2014,December,66,369805,321339
2013,Total,65,650882,571075
2013,July,22,295419,259330
2013,December,64,355463,311745
2012,Total,64,651062,572169
2012,July,23,294749,258847
2012,December,62,356313,313322
2011,Total,62,697398,608157
2011,July,21,303876,262134
2011,December,61,393522,346023
2010,Total,58,703685,607972
2010,July,14,261889,223013
2010,December,58,441796,384959
2009,Total,54,901968,768113
2009,July,4,289813,248741
2009,December,54,612155,519372
2008,Total,52,660381,559056
2007,Total,50,632480,523958
2006,Total,47,533189,437360
2005,Total,45,419823,356244
2004,Total,40,355423,302198
2003,Total,39,320987,269617
2002,Total,39,286169,242331
2001,Total,39,270852,227593
2000,Total,36,234997,201021
1999,Total,34,196037,166575
1998,Total,34,152661,130385
1997,Total,31,122960,104079
1996,Total,32,114480,96140
1995,Total,31,105701,88165
1994,Total,31,97626,82327
1993,Total,29,95313,80713
1992,Total,26,80641,68565
1991,Total,24,68644,58494
1990,Total,22,50014,42787
1989,Total,22,41404,35609
1988,Total,22,30662,26855
1987,Total,21,24126,21240
1986,Total,20,19757,17532
1985,Total,18,14766,13069
1984,Total,15,7998,7019
