Scoring sections,Location,N1_Average,N1_Standard_Deviation,N2_Average,N2_Standard_Deviation,N3_Average,N3_Standard_Deviation,N4_Average,N4_Standard_Deviation,N5_Average,N5_Standard_Deviation
Language Knowledge (Vocabulary/Grammar),Japan,27.7,9.8,24.2,9.9,28.6,8.8,,,,
Language Knowledge (Vocabulary/Grammar),Overseas,30.8,10.9,29.3,11.3,32.1,10.5,,,,
Language Knowledge (Vocabulary/Grammar),Total,29.7,10.6,27.5,11.1,30.5,9.9,,,,
Reading,Japan,28.6,14.6,24.6,11.1,26.8,9.9,,,,
Reading,Overseas,29.6,15.0,28.8,12.8,30.3,12.2,,,,
Reading,Total,29.3,14.9,27.3,12.4,28.8,11.3,,,,
Language Knowledge (Vocabulary/Grammar) & Reading,Japan,,,,,,,55.3,17.7,58.9,21.2
Language Knowledge (Vocabulary/Grammar) & Reading,Overseas,,,,,,,58.9,22.2,53.9,21.6
Listening,Japan,34.7,9.4,36.5,8.7,37.6,9.9,33.8,8.7,33.1,8.3
Listening,Overseas,31.2,10.8,33.6,10.2,33.4,11.2,27.6,9.4,28.8,8.5
Listening,Total,32.4,10.5,34.6,9.8,35.3,10.9,29.2,9.6,29.1,8.5
Total Score,Japan,91.0,28.5,85.3,23.5,93.0,23.5,89.1,24.0,91.9,27.3
Total Score,Overseas,91.6,31.6,91.8,28.4,95.8,29.2,86.5,28.7,82.7,27.9
Total Score,Total,91.4,30.6,89.4,26.9,94.6,26.8,87.2,27.5,83.4,27.9
